Cd(Cadmium),"N2,3",67eV
In(Indium),"M4,5",447eV
In(Indium),"N2,3",77eV
Sn(Tin),"M4,5",490eV
Sn(Tin),"N2,3",90eV
Sb(Antimony),"M4,5",533eV
Sb(Antimony),"N2,3",99eV
Sb(Antimony),"N4,5",32eV
Te(Tellurium),"M4,5",577eV
Te(Tellurium),"N2,3",110eV
Te(Tellurium),"N4,5",40eV
I(Iodine),"M4,5",626eV
I(Iodine),"N2,3",123eV
I(Iodine),"N4,5",50eV
Xe(Xenon),"M4,5",679eV
Xe(Xenon),"N2,3",147eV
Xe(Xenon),"N4,5",64eV
Cs(Cesium),"M4,5",733eV
Cs(Cesium),"N4,5",78eV
Ba(Barium),"M4,5",789eV
Ba(Barium),"N4,5",93eV
Lu(Lutetium),"M4,5",1615eV
Lu(Lutetium),"N4,5",195eV
Lu(Lutetium),"O2,3",31eV
Hf(Hafnium),"M4,5",1689eV
Hf(Hafnium),"O2,3",34eV
Hf(Hafnium),"N2,3",380eV
Hf(Hafnium),"N4,5",214eV
Ta(Tantalum),"M4,5",1764eV
Ta(Tantalum),"O2,3",41eV
Ta(Tantalum),"N2,3",404eV
Ta(Tantalum),"N4,5",229eV
W(Tungsten),"M4,5",1841eV
W(Tungsten),"N6,7",36eV
W(Tungsten),"O2,3",42eV
Re(Rhenium),"M4,5",1916eV
Re(Rhenium),"N6,7",46eV
Re(Rhenium),"O2,3",41eV
Os(Osmium),"M4,5",1996eV
Os(Osmium),"N6,7",51eV
Os(Osmium),"O2,3",52eV
Ir(Iridium),"M4,5",2079eV
Ir(Iridium),"N6,7",62eV
Ir(Iridium),"O2,3",57eV
Pt(Platinum),"M4,5",2162eV
Pt(Platinum),"N6,7",72eV
Pt(Platinum),"O2,3",59eV
Au(Gold),"M4,5",2249eV
Au(Gold),"N6,7",85eV
Au(Gold),"O2,3",63eV
Hg(Mercury),"M4,5",2340eV
Hg(Mercury),"O2,3",70eV
Tl(Thallium),"M4,5",2438eV
Tl(Thallium),"O4,5",14eV
Pb(Lead),"M4,5",2435eV
Pb(Lead),"O4,5",21eV
Bi(Bismuth),"M4,5",2634eV
Bi(Bismuth),"O4,5",27eV
La(Lanthanum),"M4,5",841eV
La(Lanthanum),"N4,5",99eV
Ce(Cerium),"M4,5",893eV
Ce(Cerium),"N4,5",110eV
Pr(Praseodymium),"M4,5",941eV
Pr(Praseodymium),"N4,5",114eV
Nd(Neodymium),"M4,5",989eV
Nd(Neodymium),"N4,5",118eV
Sm(Samarium),"M4,5",1094eV
Sm(Samarium),"N4,5",130eV
Eu(Europium),"M4,5",1146eV
Eu(Europium),"N4,5",134eV
Gd(Gadolinium),"M4,5",1202eV
Gd(Gadolinium),"N4,5",141eV
Tb(Terbium),"M4,5",1259eV
Tb(Terbium),"N4,5",148eV
Dy(Dysprosium),"M4,5",1314eV
Dy(Dysprosium),"N4,5",154eV
Dy(Dysprosium),"O2,3",27eV
Ho(Holmium),"M4,5",1371eV
Ho(Holmium),"N4,5",161eV
Ho(Holmium),"O2,3",28eV
Er(Erbium),"M4,5",1431eV
Er(Erbium),"N4,5",168eV
Er(Erbium),"O2,3",28eV
Tm(Thulium),"M4,5",1492eV
Tm(Thulium),"N4,5",177eV
Tm(Thulium),"O2,3",29eV
Yb(Ytterbium),"M4,5",1552eV
Yb(Ytterbium),"N4,5",184eV
Yb(Ytterbium),"O2,3",30eV
Lu(Lutetium),"M4,5",1615eV
Lu(Lutetium),"N4,5",195eV
Lu(Lutetium),"O2,3",31eV
Th(Thorium),"M4,5",3412eV
Th(Thorium),"O4,5",88eV
U(Uranium),"M4,5",3640eV
U(Uranium),"O4,5",96eV
